Post Date,Description,Category,Reference Number,Amount
3/10/2026,AMAZON MARK* BP5CC3EC1   AMAZON.COM/MAWA,Miscellaneous and Specialty Retail Stores,2401134EM2X4S74DX,-29.62
3/10/2026,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),2411641EMKLJJFYNV,-5.48
3/10/2026,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),2411641EMKLJJFYNK,-1.75
3/10/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523ELKKTJJ86N,-5.48
3/10/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523ELKKTJHKWZ,-75.07
3/10/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523ELKKS753QF,-4.38
3/9/2026,BROOKSHIRES 48           EL DORADO    AR,Grocery Stores  Supermarkets,2413746EL01EY4YFT,-20.84
3/9/2026,AMAZON MARK* BP6I17IR2   AMAZON.COM/MAWA,Miscellaneous and Specialty Retail Stores,2401134EK2X7P08P6,-21.94
3/8/2026,T J MAXX #1330           EL DORADO    AR,Discount Stores,2413746EK01TMN9PL,-10.96
3/8/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523EJKHTHAGG5,-7.58
3/8/2026,MURPHY7520ATWALMART      EL DORADO    AR,Automated Fuel Dispenser,2443105EJ86DPNWL6,-27.94
3/8/2026,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),2411641EJKHGEXVWR,-4.38
3/8/2026,MURPHY7520ATWALMART      EL DORADO    AR,Automated Fuel Dispenser,2443105EH861WP393,-46.93
3/6/2026,AMAZON RETA* BE16R9SX1   WWW.AMAZON.COWA,Variety Stores,2401134EH2X5Z7L3A,-11.95
3/6/2026,AMAZON RETA* BE16A9SF1   WWW.AMAZON.COWA,Variety Stores,2401134EH2X5YQZYR,-4.01
3/6/2026,WM SUPERCENTER #530      EL DORADO    AR,Grocery Stores  Supermarkets,2444500EHBLPZET4P,-14.25
3/6/2026,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),2411641EHKGBZK09G,-4.38
3/5/2026,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),2411641EGKF960YZ8,-3.29
3/5/2026,WALMART.COM 8009256278   800-966-6546 AR,Discount Stores,2444500EF2X9PS59Q,-4.34
3/4/2026,WALMART.COM 8009256278   800-966-6546 AR,Discount Stores,2444500EE8PZJ25KP,-1.00
3/4/2026,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),2411641EFKE6VZADG,-4.38
3/4/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523EEKDEFVT3F,-44.24
3/4/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523EEKDEFN2VP,-11.60
3/4/2026,WALMART.COM 8009256278   800-966-6546 AR,Discount Stores,2444500EE5SEHND45,-46.46
3/3/2026,AMAZON MKTPL*B93HN4230   Amzn.com/billWA,Book Stores,2469216EE33E4ME7K,-152.54
3/3/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523EDKQFMSBS6,-42.91
3/2/2026,TST*SWOLE FOOD - GYM     El Dorado    AR,Food Eating Places  Restaurants,2469216EB30ZFFS1Z,-20.84
