Post Date,Description,Category,Reference Number,Amount
7/22/2026,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),2411641JVR5Z6DAEB,-4.40
7/22/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523JSR580JL7L,-66.71
7/21/2026,Audible*5H6N81CF3        Amzn.com/billNJ,Direct Marketing  Continuity/Subscription Merchants,2469216JSBVK0WM3R,-16.48
7/20/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523JRR349XF1Y,-68.41
7/20/2026,THE HOME DEPOT #8537     EL DORADO    AR,Home Supply Warehouse,2494301JR09FV5ZQD,-171.84
7/19/2026,SQ *EL DORADO CREAMERY   EL DORADO    AR,Food Fast Food Restaurants,2469216JPBTN2SW60,-5.46
7/19/2026,BROOKSHIRES 48           EL DORADO    AR,Grocery Stores  Supermarkets,2413746JR01MJ29EW,-14.50
7/19/2026,VAUSONS TIMBERLAND MEAT  EL DORADO    AR,Grocery Stores  Supermarkets,2411641JRR2EDYW4Y,-41.57
7/19/2026,THE HOME DEPOT #8537 EL DORADO  A CREDIT,,,37.42
7/19/2026,THE HOME DEPOT #8537     EL DORADO    AR,Home Supply Warehouse,2494301JP09FJED3J,-63.91
7/19/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523JNR0YH83YG,-75.24
7/19/2026,WALMART.COM 8009256278   BENTONVILLE  AR,Discount Stores,2444500JP2XQS3FSK,-1.00
7/17/2026,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),2411641JNR0J2K3E0,-3.10
7/17/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523JMPZTXY92M,-50.10
7/16/2026,EVERYBODYS ANTIQUE       EL DORADO    AR,Miscellaneous and Specialty Retail Stores,2480197JLPYWM8T8A,-68.34
7/16/2026,TST*SOLE LIFE            El Dorado    AR,Food Eating Places  Restaurants,2469216JLBNW266JV,-11.57
7/15/2026,AMAZON MKTPL*BY6AS4M33   Amzn.com/billWA,Book Stores,2469216JKBMP7H46B,-47.27
7/15/2026,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),2411641JLPY94S3KP,-3.30
7/14/2026,AMAZON RETA* GK7L51QX3   WWW.AMAZON.COWA,Variety Stores,2401134JK2X4JFJMW,-61.11
7/14/2026,PY *TCW                  501-3299144  AR,Calls through use of Magnetic Stripe  Reading Telephones,2490641JJ7L8QQ8Y5,-40.00
7/14/2026,EVERYBODYS ANTIQUE       EL DORADO    AR,Miscellaneous and Specialty Retail Stores,2480197JJPWMB3870,-27.55
7/14/2026,AMAZON MKTPL*PU6WE6OR3   Amzn.com/billWA,Book Stores,2469216JJBM0EEXTN,-48.50
7/14/2026,WALMART.COM 8009256278   800-966-6546 AR,Discount Stores,2444500JJ5SHDY627,-52.57
7/14/2026,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),2411641JKPX5J4MRX,-2.79
7/13/2026,THE HOME DEPOT #8537     EL DORADO    AR,Home Supply Warehouse,2494301JH09FZ3892,-45.00
7/12/2026,AMAZON MKTPL*KK2NA2433   Amzn.com/billWA,Book Stores,2469216JGBW32EDPL,-15.16
7/12/2026,AMAZON MKTPL*QC98S2SS3   Amzn.com/billWA,Book Stores,2469216JGBW2XB0T6,-11.01
7/12/2026,WAL-MART #0530           EL DORADO    AR,Grocery Stores  Supermarkets,2445501JG43A55QZL,-23.70
7/12/2026,MURPHY7520ATWALMRT       EL DORADO    AR,Automated Fuel Dispenser,2411641JHPV2EZA4V,-27.78
7/12/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523JGPS9186M0,-1.00
7/12/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523JGPSBZ9QJF,-66.06
7/12/2026,WALMART.COM 8009256278   800-966-6546 AR,Discount Stores,2444500JF8R632BV9,-0.72
7/12/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523JFPT6RN6V5,-22.96
7/12/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523JFPT6RLQ2X,-9.68
7/11/2026,PAYMENT - IN BRANCH      TEXARKANA    TX,,,1980.85
7/10/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523JEPPY4DAHL,-1.00
7/9/2026,AMAZON MARK* LP3EK7GL3   AMAZON.COM/MAWA,Miscellaneous and Specialty Retail Stores,2401134JE2X5HD6X4,-8.81
7/9/2026,AMAZON MKTPL*M66ZG0F03   Amzn.com/billWA,Book Stores,2469216JDBTGSMKVD,-26.45
7/9/2026,T J MAXX #1330           EL DORADO    AR,Discount Stores,2413746JE01JP2N14,-43.81
7/8/2026,AMAZON RETA* 3170J75R3   WWW.AMAZON.COWA,Variety Stores,2401134JD2X4ESZ80,-5.30
7/8/2026,AMAZON MKTPL*HF97C7383   Amzn.com/billWA,Book Stores,2469216JQBT339TT6,-119.40
7/8/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523JQPMV8VMV6,-62.73
7/7/2026,EL DORADO 7002 DSMV      EL DORADO    AR,Government Services not elsewhere classified,2473309JQ40ZWFSQV,-20.42
7/7/2026,TST*SOLE LIFE            El Dorado    AR,Food Eating Places  Restaurants,2469216JBBR2JSHH1,-11.52
7/7/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523JBPLSH1MKR,-55.46
7/6/2026,AMAZON MKTPL*PH8ZE4MB3   Amzn.com/billWA,Book Stores,2469216JBBPJHJDAP,-6.60
7/6/2026,AMAZON MKTPL*8B2KN68I3   Amzn.com/billWA,Book Stores,2469216JBBPFA4AM1,-26.45
7/6/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523JAPKM5M3J2,-1.00
7/6/2026,WALMART.COM 8009256278   800-966-6546 AR,Discount Stores,2444500JA8R409LL7,-3.49
7/5/2026,AMAZON MKTPL*V03ZQ3DB3   Amzn.com/billWA,Book Stores,2469216J9BN1NY0D0,-36.70
7/5/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523J9PJP52E6Y,-57.76
7/5/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523J9PJNQKP8F,-10.32
7/5/2026,THE HOME DEPOT #8537     EL DORADO    AR,Home Supply Warehouse,2494301J909FW37XJ,-25.34
7/5/2026,Audible*360LV0IK3        Amzn.com/billNJ,Direct Marketing  Continuity/Subscription Merchants,2469216J8BMHJYJ9P,-5.50
7/5/2026,T J MAXX #1330           EL DORADO    AR,Discount Stores,2413746J901PX7LWJ,-37.14
7/5/2026,TST* FLYING BURGER - EL DEL DORADO    AR,Food Eating Places  Restaurants,2413746J82XHWV8W3,-13.05
7/5/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523J8PHHAW96W,-73.11
7/2/2026,MAIN STREET PIZZA        EL DORADO    AR,Food Eating Places  Restaurants,2476501J7PFPZM9M4,-30.24
7/2/2026,SQ *EL DORADO CREAMERY   EL DORADO    AR,Food Fast Food Restaurants,2469216J6BNLAHMNE,-9.24
7/1/2026,AMAZON MKTPL*GP6MT79T3   Amzn.com/billWA,Book Stores,2469216J5BLVSXSVD,-39.50
7/1/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523J5PE6F0KFM,-86.95
7/1/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523J5PE2H20XR,-59.97
7/1/2026,WALMART.COM 8009256278   BENTONVILLE  AR,Discount Stores,2444500J55SJPX8NY,-1.00
