Post Date,Description,Category,Reference Number,Amount
2/27/2025,WALMART.COM 8009256278   800-966-6546 AR,Discount Stores,24445001T2XAKR4LJ,-5.09
2/27/2025,WALMART.COM 8009256278   800-966-6546 AR,Discount Stores,24445001T2XAKR4EY,-6.34
2/26/2025,WM SUPERCENTER #530      EL DORADO    AR,Grocery Stores  Supermarkets,24445001TBLMYP9P2,-91.10
2/26/2025,CORPORATE OFFICE 1111    EL DORADO    AR,Service Stations (with or without Ancillary Services),24431051R37BKMJE6,-2.18
2/25/2025,CORPORATE OFFICE 1111    EL DORADO    AR,Service Stations (with or without Ancillary Services),24431051P36XXY63K,-1.90
2/24/2025,MURPHY7520ATWALMART      EL DORADO    AR,Automated Fuel Dispenser,24431051N36A7FSFR,-28.92
2/23/2025,Interest Charge on Cash Advances,,,0.00
2/23/2025,Interest Charge on Purchases,,,0.00
2/23/2025,IDAHO.GOV                EGOV.COM     ID,Government Services not elsewhere classified,24733091L192DTWT9,-65.00
2/23/2025,WENDY'S 12               EL DORADO    AR,Food Fast Food Restaurants,24445001MEJDRYLB1,-10.98
2/23/2025,WALMART.COM              800-925-6278 AR,Discount Stores,24055231L79Q6PDQG,-82.38
2/23/2025,WALMART.COM              800-925-6278 AR,Discount Stores,24055231L79FJQS4V,-43.88
2/19/2025,CORPORATE OFFICE 1111    EL DORADO    AR,Service Stations (with or without Ancillary Services),24431051H34ETXX5T,-1.75
2/19/2025,BROOKSHIRES 40           EL DORADO    AR,Grocery Stores  Supermarkets,24137461J01Q909NA,-11.55
2/19/2025,PERCY\'S CONVENIENCE STOREL DORADO    AR,Food Fast Food Restaurants,24035991HS66L6FJY,-6.50
2/19/2025,RAISING CANES 0033       RUSTON       LA,Food Fast Food Restaurants,24692161H2XSKVTB3,-12.95
2/19/2025,MURPHY USA 7857          RUSTON       LA,Automated Fuel Dispenser,24431051H346YAHG2,-17.43
2/18/2025,WM SUPERCENTER #23       RUSTON       LA,Grocery Stores  Supermarkets,24445001HBLNGVV8Z,-9.03
2/16/2025,WAL-MART #0530           EL DORADO    AR,Grocery Stores  Supermarkets,24455011E43A4WJVJ,-17.61
2/16/2025,SLIM CHICKENS 8          EL DORADO    AR,Food Fast Food Restaurants,24765011E73G6PKPK,-14.81
2/16/2025,EXCALIBUR FAMILY FUN CENTEL DORADO    AR,Other Services not elsewhere classified,24622751EHF360FND,-10.00
2/16/2025,EXCALIBUR FAMILY FUN CENTEL DORADO    AR,Other Services not elsewhere classified,24622751D8R63PFPV,-5.00
2/16/2025,SHELL OIL 12786350004    EL DORADO    AR,Automated Fuel Dispenser,24316051E73N05P38,-15.32
2/16/2025,SHELL OIL 12786350004    EL DORADO    AR,Automated Fuel Dispenser,24316051E73N05P0E,-15.41
2/16/2025,SHELL OIL 12786350004    EL DORADO    AR,Service Stations (with or without Ancillary Services),24316051E73N05N38,-8.77
2/16/2025,BROOKSHIRES 40           EL DORADO    AR,Grocery Stores  Supermarkets,24137461E01KN96SA,-27.73
2/7/2025,PAYMENT - IN BRANCH      TEXARKANA    TX,,,500.00
2/7/2025,PAYMENT - IN BRANCH      TEXARKANA    TX,,,600.00
2/2/2025,MURPHY7520ATWALMART      EL DORADO    AR,Automated Fuel Dispenser,24431050Z2WWN7QTX,-0.07
2/2/2025,MURPHY7520ATWALMART      EL DORADO    AR,Automated Fuel Dispenser,24431050Z2WWN7QS5,-26.92
1/30/2025,EL DORADO 7002 DSMV      EL DORADO    AR,Government Services not elsewhere classified,24733090X157LPQSV,-38.61
1/30/2025,CORPORATE OFFICE 1111    EL DORADO    AR,Service Stations (with or without Ancillary Services),24431050X2W8T69K3,-1.75
1/29/2025,WALMART.COM              800-925-6278 AR,Discount Stores,24055230W6JW8S4YB,-46.45
1/27/2025,WALMART.COM 8009256278   800-966-6546 AR,Discount Stores,24445000S8PXVAPK7,-59.63
1/27/2025,HEALTHWORKS FITNESS CENT EL DORADO    AR,Membership Clubs (Sports  Recreation  Athletic)  Country Clubs  Private Golf Courses,24055220S6H3Y07J2,-8.14
1/26/2025,SQ *MCGRAWS BBQ          Lillie       LA,Food Eating Places  Restaurants,24692160T2Y27NTYK,-34.46
1/26/2025,WENDY'S 12               EL DORADO    AR,Food Fast Food Restaurants,24445000TEJB7L51E,-12.07
1/24/2025,WALMART.COM              800-925-6278 AR,Discount Stores,24055230P6E7XZMGR,-44.76
1/23/2025,Interest Charge on Cash Advances,,,0.00
1/23/2025,Interest Charge on Purchases,,,0.00
1/23/2025,SEPHORA.COM              877-SEPHORA  CA,Cosmetic Stores,24692160N2Y085ZPD,-10.31
1/23/2025,BROOKSHIRES 40           EL DORADO    AR,Grocery Stores  Supermarkets,24137460P019KM9VL,-17.99
1/19/2025,WM SUPERCENTER #530      EL DORADO    AR,Grocery Stores  Supermarkets,24445000KBLP6G4XJ,-40.45
1/17/2025,USPS PO 0428080730       EL DORADO    AR,Postal Services  Government Only,24137460H01DK06MF,-14.10
1/17/2025,WALMART.COM              800-925-6278 AR,Discount Stores,24055230G67REHGHZ,-3.71
1/17/2025,WALMART.COM              800-925-6278 AR,Discount Stores,24055230G67L75KYP,-38.54
1/17/2025,WALMART.COM              800-925-6278 AR,Discount Stores,24055230G67L6QXMV,-13.92
1/13/2025,HEALTHWORKS FITNESS CENT EL DORADO    AR,Membership Clubs (Sports  Recreation  Athletic)  Country Clubs  Private Golf Courses,24055220Q643ZT08F,-9.05
1/12/2025,WM SUPERCENTER #530      EL DORADO    AR,Grocery Stores  Supermarkets,24445000QBLNDJPVR,-1.47
1/10/2025,MURPHY7520ATWALMART      EL DORADO    AR,Automated Fuel Dispenser,2443105092KXV74VR,-20.59
1/9/2025,WM SUPERCENTER #530      EL DORADO    AR,Grocery Stores  Supermarkets,244450009BLN9K785,-8.59
1/7/2025,BROOKSHIRES 40           EL DORADO    AR,Grocery Stores  Supermarkets,241374607018GB3K9,-21.42
1/5/2025,EVERYBODYS ANTIQUE       EL DORADO    AR,Miscellaneous and Specialty Retail Stores,2480197045WYMZHRM,-13.17
1/2/2025,WAL-MART #0530           EL DORADO    AR,Grocery Stores  Supermarkets,24455010143A4SP6S,-7.99
1/1/2025,American Eagle OutfittersHenderson    NV,Mens and Womens Clothing Stores,247933801006QXNNN,-25.68
1/1/2025,CIRCLE K 05394           HENDERSON    NV,Automated Fuel Dispenser,24692160130612BW9,-49.31
12/31/2024,PAYMENT - IN BRANCH      TEXARKANA    TX,,,359.68
12/27/2024,SHELL OIL 12775524007    HENDERSON    NV,Automated Fuel Dispenser,2431605PT5LAERR1X,-15.81
12/23/2024,Interest Charge on Cash Advances,,,0.00
12/23/2024,Interest Charge on Purchases,,,0.00
12/22/2024,LOVE'S #0835 OUTSIDE     FILLMORE     UT,Automated Fuel Dispenser,2469216PL3121WE9V,-28.63
12/22/2024,LOVE'S #0835 INSIDE      FILLMORE     UT,Service Stations (with or without Ancillary Services),2469216PL3121KVVZ,-3.80
12/20/2024,AUTOMATIC PAYMENT - THANK YOU,,,18.61
12/20/2024,WAL-MART #1878           REXBURG      ID,Automated Fuel Dispenser,2444500PKBLPW59MQ,-37.12
12/17/2024,MADISONDMV 208-332-0102  BOISE        ID,Government Services not elsewhere classified,2473309PF0Y99EK0L,-9.23
12/15/2024,SQ *CUPBOP               Rexburg      ID,Food Eating Places  Restaurants,2469216PQ33G9MP0S,-11.61
12/15/2024,TST*THE HICKORY          Rexburg      ID,Food Eating Places  Restaurants,2469216PD342AFAMJ,-15.52
12/15/2024,BYUI FOOD SVCS           REXBURG      ID,Food Fast Food Restaurants,2443105PD29L1MTJA,-2.64
12/15/2024,SPORTSMANS WAREHOUSE 236 POCATELLO    ID,Sporting Goods Stores,2471705PQJP990GD6,-18.01
12/12/2024,CHICK-FIL-A POST SEC L   LITTLE ROCK  AR,Food Fast Food Restaurants,2469216PA316ASG4R,-10.10
12/11/2024,CHEVRON 0352098          EL DORADO    AR,Automated Fuel Dispenser,2469216PA30PPX1N8,-21.01
12/11/2024,MURPHY7520ATWALMART      EL DORADO    AR,Automated Fuel Dispenser,2443105P927VND8MN,-27.96
12/6/2024,WAL-MART #0530           EL DORADO    AR,Grocery Stores  Supermarkets,2445501P443A4Y61J,-22.69
12/6/2024,BROOKSHIRES 40           EL DORADO    AR,Grocery Stores  Supermarkets,2413746P501JAGFA8,-9.15
12/4/2024,MURPHY7520ATWALMART      EL DORADO    AR,Service Stations (with or without Ancillary Services),2443105P224XX8H6P,-21.13
12/3/2024,WAL-MART #0530           EL DORADO    AR,Grocery Stores  Supermarkets,2445501P143A4YFL8,-75.87
12/3/2024,CORPORATE OFFICE 1111    EL DORADO    AR,Service Stations (with or without Ancillary Services),2443105P124R8YTM6,-2.18
11/25/2024,DOLLAR GENERAL #22817    EL DORADO    AR,Variety Stores,2444500NS00VPNFSL,-7.60
11/24/2024,MURPHY7520ATWALMART      EL DORADO    AR,Automated Fuel Dispenser,2443105NP20JFZPP8,-19.62
11/23/2024,Interest Charge on Cash Advances,,,0.00
11/23/2024,Interest Charge on Purchases,,,0.00
11/17/2024,DOLLAR TREE              EL DORADO    AR,Variety Stores,2444500NH00Z6DT6M,-6.78
11/17/2024,LITTLE CAESARS 1494-0005 EL DORADO    AR,Food Fast Food Restaurants,2444500NHEJF030J7,-11.83
